modele,type_prompt,niveau,tag,tp,fp,fn,precision_micro,recall_micro,f1_micro
gemini-3.1-flash-lite-preview,FS,niveau_parallele_3,auteur,109,1,19,0.9909,0.8516,0.916
gemini-3.1-flash-lite-preview,FS,niveau_parallele_3,bibl,44,0,44,1.0,0.5,0.6667
gemini-3.1-flash-lite-preview,FS,niveau_parallele_3,foreign,11,21,2,0.3438,0.8462,0.4889
gemini-3.1-flash-lite-preview,FS,niveau_parallele_3,lang,5,0,6,1.0,0.4545,0.625
gemini-3.1-flash-lite-preview,FS,niveau_parallele_3,oRef,18,4,10,0.8182,0.6429,0.72
gemini-3.1-flash-lite-preview,FS-R,niveau_parallele_3,auteur,92,2,17,0.9787,0.844,0.9064
gemini-3.1-flash-lite-preview,FS-R,niveau_parallele_3,bibl,38,0,34,1.0,0.5278,0.6909
gemini-3.1-flash-lite-preview,FS-R,niveau_parallele_3,foreign,3,24,4,0.1111,0.4286,0.1765
gemini-3.1-flash-lite-preview,FS-R,niveau_parallele_3,lang,5,0,5,1.0,0.5,0.6667
gemini-3.1-flash-lite-preview,FS-R,niveau_parallele_3,oRef,18,9,1,0.6667,0.9474,0.7826
gemini-3.1-flash-lite-preview,ZS,niveau_parallele_3,auteur,83,2,31,0.9765,0.7281,0.8342
gemini-3.1-flash-lite-preview,ZS,niveau_parallele_3,bibl,20,0,62,1.0,0.2439,0.3922
gemini-3.1-flash-lite-preview,ZS,niveau_parallele_3,foreign,5,0,7,1.0,0.4167,0.5882
gemini-3.1-flash-lite-preview,ZS,niveau_parallele_3,lang,2,0,8,1.0,0.2,0.3333
gemini-3.1-flash-lite-preview,ZS,niveau_parallele_3,oRef,16,4,11,0.8,0.5926,0.6809
gemma-3-27b-it,FS,niveau_parallele_3,auteur,33,0,131,1.0,0.2012,0.335
gemma-3-27b-it,FS,niveau_parallele_3,bibl,36,28,82,0.5625,0.3051,0.3956
gemma-3-27b-it,FS,niveau_parallele_3,foreign,0,0,17,0.0,0.0,0.0
gemma-3-27b-it,FS,niveau_parallele_3,lang,1,0,13,1.0,0.0714,0.1333
gemma-3-27b-it,FS,niveau_parallele_3,oRef,1,0,35,1.0,0.0278,0.0541
gemma-3-27b-it,FS-R,niveau_parallele_3,auteur,49,1,115,0.98,0.2988,0.4579
gemma-3-27b-it,FS-R,niveau_parallele_3,bibl,34,0,84,1.0,0.2881,0.4474
gemma-3-27b-it,FS-R,niveau_parallele_3,foreign,0,0,17,0.0,0.0,0.0
gemma-3-27b-it,FS-R,niveau_parallele_3,lang,0,0,14,0.0,0.0,0.0
gemma-3-27b-it,FS-R,niveau_parallele_3,oRef,0,0,36,0.0,0.0,0.0
gemma-3-27b-it,ZS,niveau_parallele_3,auteur,20,0,144,1.0,0.122,0.2174
gemma-3-27b-it,ZS,niveau_parallele_3,bibl,35,6,83,0.8537,0.2966,0.4403
gemma-3-27b-it,ZS,niveau_parallele_3,foreign,0,0,17,0.0,0.0,0.0
gemma-3-27b-it,ZS,niveau_parallele_3,lang,0,0,14,0.0,0.0,0.0
gemma-3-27b-it,ZS,niveau_parallele_3,oRef,0,0,36,0.0,0.0,0.0
gpt-5-mini,FS,niveau_parallele_3,auteur,66,4,98,0.9429,0.4024,0.5641
gpt-5-mini,FS,niveau_parallele_3,bibl,27,6,91,0.8182,0.2288,0.3576
gpt-5-mini,FS,niveau_parallele_3,foreign,3,0,14,1.0,0.1765,0.3
gpt-5-mini,FS,niveau_parallele_3,lang,8,0,6,1.0,0.5714,0.7273
gpt-5-mini,FS,niveau_parallele_3,oRef,6,0,30,1.0,0.1667,0.2857
gpt-5-mini,FS-R,niveau_parallele_3,auteur,43,2,121,0.9556,0.2622,0.4115
gpt-5-mini,FS-R,niveau_parallele_3,bibl,44,10,74,0.8148,0.3729,0.5116
gpt-5-mini,FS-R,niveau_parallele_3,foreign,3,0,14,1.0,0.1765,0.3
gpt-5-mini,FS-R,niveau_parallele_3,lang,4,0,10,1.0,0.2857,0.4444
gpt-5-mini,FS-R,niveau_parallele_3,oRef,5,0,31,1.0,0.1389,0.2439
gpt-5-mini,ZS,niveau_parallele_3,auteur,0,0,164,0.0,0.0,0.0
gpt-5-mini,ZS,niveau_parallele_3,bibl,42,13,76,0.7636,0.3559,0.4855
gpt-5-mini,ZS,niveau_parallele_3,foreign,0,0,17,0.0,0.0,0.0
gpt-5-mini,ZS,niveau_parallele_3,lang,0,0,14,0.0,0.0,0.0
gpt-5-mini,ZS,niveau_parallele_3,oRef,0,0,36,0.0,0.0,0.0
gpt-5.4-mini,FS,niveau_parallele_3,auteur,9,0,155,1.0,0.0549,0.104
gpt-5.4-mini,FS,niveau_parallele_3,bibl,36,10,82,0.7826,0.3051,0.439
gpt-5.4-mini,FS,niveau_parallele_3,foreign,0,0,17,0.0,0.0,0.0
gpt-5.4-mini,FS,niveau_parallele_3,lang,0,0,14,0.0,0.0,0.0
gpt-5.4-mini,FS,niveau_parallele_3,oRef,0,0,36,0.0,0.0,0.0
gpt-5.4-mini,FS-R,niveau_parallele_3,auteur,0,0,164,0.0,0.0,0.0
gpt-5.4-mini,FS-R,niveau_parallele_3,bibl,42,13,76,0.7636,0.3559,0.4855
gpt-5.4-mini,FS-R,niveau_parallele_3,foreign,0,0,17,0.0,0.0,0.0
gpt-5.4-mini,FS-R,niveau_parallele_3,lang,0,0,14,0.0,0.0,0.0
gpt-5.4-mini,FS-R,niveau_parallele_3,oRef,0,0,36,0.0,0.0,0.0
gpt-5.4-mini,ZS,niveau_parallele_3,auteur,9,0,155,1.0,0.0549,0.104
gpt-5.4-mini,ZS,niveau_parallele_3,bibl,36,10,82,0.7826,0.3051,0.439
gpt-5.4-mini,ZS,niveau_parallele_3,foreign,0,0,17,0.0,0.0,0.0
gpt-5.4-mini,ZS,niveau_parallele_3,lang,0,0,14,0.0,0.0,0.0
gpt-5.4-mini,ZS,niveau_parallele_3,oRef,0,0,36,0.0,0.0,0.0
