auteur,bibliographie,definition,exemple,reference,renvoi,traduction
0.9186,0.623,0.8871,0.6817,0.6552,0.8545,0.7786
0.8276,0.4387,0.8551,0.7623,0.6182,0.78,0.7829
0.7609,0.721,0.8302,0.7346,0.6809,0.8624,0.7564
0.6825,0.6557,0.7902,0.7273,0.6522,0.7158,0.7845
0.6255,0.3262,0.8622,0.6648,0.6415,0.8244,0.7518
0.6693,0.0656,0.9,0.7583,0.6957,0.5714,0.7609
0.3564,0.2769,0.6742,0.466,0.2703,0.303,0.4525
0.1564,0.0993,0.6,0.2958,0.2424,0.2769,0.2
0.1143,0.2222,0.4286,0.0165,0.129,0.069,0.1413
0.2872,0.1961,0.3798,0.3228,0.0,0.0,0.228
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5268,0.2899,0.8155,0.6803,0.55,0.6517,0.7518
0.5286,0.2647,0.8167,0.535,0.3636,0.4267,0.7138
0.125,0.0,0.4733,0.3706,0.0,0.0,0.3714
0.0588,0.127,0.635,0.0797,0.2424,0.2388,0.3153
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0168,0.0,0.0,0.2424,0.2121,0.0
0.3249,0.0968,0.7046,0.4455,0.5854,0.561,0.6429
0.1,0.0,0.8589,0.384,0.2,0.1786,0.5
0.2723,0.112,0.7126,0.2169,0.4737,0.5641,0.6375
0.2618,0.064,0.8039,0.3375,0.0,0.0,0.4664
0.1034,0.0,0.15,0.2585,0.1875,0.0968,0.1413
0.1143,0.0168,0.1515,0.2484,0.1875,0.127,0.2727
