modele,type_prompt,niveau,tag,tp,fp,fn,precision_micro,recall_micro,f1_micro
gemini-3.1-flash-lite-preview,FS,niveau_parallele_2.1,definition,163,1,16,0.9939,0.9106,0.9504
gemini-3.1-flash-lite-preview,FS,niveau_parallele_2.1,encycl,130,21,50,0.8609,0.7222,0.7855
gemini-3.1-flash-lite-preview,FS,niveau_parallele_2.1,etym,47,0,79,1.0,0.373,0.5434
gemini-3.1-flash-lite-preview,FS,niveau_parallele_2.1,exemple,158,2,81,0.9875,0.6611,0.792
gemini-3.1-flash-lite-preview,FS,niveau_parallele_2.1,glose,23,0,23,1.0,0.5,0.6667
gemini-3.1-flash-lite-preview,FS,niveau_parallele_2.1,reference,32,68,0,0.32,1.0,0.4848
gemini-3.1-flash-lite-preview,FS,niveau_parallele_2.1,renvoi,53,20,2,0.726,0.9636,0.8281
gemini-3.1-flash-lite-preview,FS,niveau_parallele_2.1,traduction,105,0,66,1.0,0.614,0.7609
gemini-3.1-flash-lite-preview,FS-R,niveau_parallele_2.1,definition,157,5,22,0.9691,0.8771,0.9208
gemini-3.1-flash-lite-preview,FS-R,niveau_parallele_2.1,encycl,77,11,103,0.875,0.4278,0.5746
gemini-3.1-flash-lite-preview,FS-R,niveau_parallele_2.1,etym,28,0,98,1.0,0.2222,0.3636
gemini-3.1-flash-lite-preview,FS-R,niveau_parallele_2.1,exemple,166,0,73,1.0,0.6946,0.8198
gemini-3.1-flash-lite-preview,FS-R,niveau_parallele_2.1,glose,11,1,35,0.9167,0.2391,0.3793
gemini-3.1-flash-lite-preview,FS-R,niveau_parallele_2.1,reference,32,45,0,0.4156,1.0,0.5872
gemini-3.1-flash-lite-preview,FS-R,niveau_parallele_2.1,renvoi,54,11,1,0.8308,0.9818,0.9
gemini-3.1-flash-lite-preview,FS-R,niveau_parallele_2.1,traduction,109,0,62,1.0,0.6374,0.7786
gemini-3.1-flash-lite-preview,ZS,niveau_parallele_2.1,definition,79,0,77,1.0,0.5064,0.6723
gemini-3.1-flash-lite-preview,ZS,niveau_parallele_2.1,encycl,71,8,80,0.8987,0.4702,0.6174
gemini-3.1-flash-lite-preview,ZS,niveau_parallele_2.1,etym,21,0,84,1.0,0.2,0.3333
gemini-3.1-flash-lite-preview,ZS,niveau_parallele_2.1,exemple,78,0,129,1.0,0.3768,0.5474
gemini-3.1-flash-lite-preview,ZS,niveau_parallele_2.1,glose,8,3,32,0.7273,0.2,0.3137
gemini-3.1-flash-lite-preview,ZS,niveau_parallele_2.1,reference,27,16,1,0.6279,0.9643,0.7606
gemini-3.1-flash-lite-preview,ZS,niveau_parallele_2.1,renvoi,50,10,3,0.8333,0.9434,0.885
gemini-3.1-flash-lite-preview,ZS,niveau_parallele_2.1,traduction,78,0,67,1.0,0.5379,0.6996
