modele,type_prompt,niveau,tag,tp,fp,fn,precision_micro,recall_micro,f1_micro
gemini-3.1-flash-lite-preview,FS,niveau2.3,auteur,141,1,24,0.993,0.8545,0.9186
gemini-3.1-flash-lite-preview,FS,niveau2.3,bibliographie,57,8,61,0.8769,0.4831,0.623
gemini-3.1-flash-lite-preview,FS,niveau2.3,definition,169,29,14,0.8535,0.9235,0.8871
gemini-3.1-flash-lite-preview,FS,niveau2.3,exemple,166,80,75,0.6748,0.6888,0.6817
gemini-3.1-flash-lite-preview,FS,niveau2.3,reference,19,10,10,0.6552,0.6552,0.6552
gemini-3.1-flash-lite-preview,FS,niveau2.3,renvoi,47,7,9,0.8704,0.8393,0.8545
gemini-3.1-flash-lite-preview,FS,niveau2.3,traduction,109,0,62,1.0,0.6374,0.7786
gemini-3.1-flash-lite-preview,FS,niveau2.5,auteur,120,5,45,0.96,0.7273,0.8276
gemini-3.1-flash-lite-preview,FS,niveau2.5,bibliographie,34,3,84,0.9189,0.2881,0.4387
gemini-3.1-flash-lite-preview,FS,niveau2.5,definition,177,54,6,0.7662,0.9672,0.8551
gemini-3.1-flash-lite-preview,FS,niveau2.5,exemple,202,87,39,0.699,0.8382,0.7623
gemini-3.1-flash-lite-preview,FS,niveau2.5,reference,17,9,12,0.6538,0.5862,0.6182
gemini-3.1-flash-lite-preview,FS,niveau2.5,renvoi,39,5,17,0.8864,0.6964,0.78
gemini-3.1-flash-lite-preview,FS,niveau2.5,traduction,110,0,61,1.0,0.6433,0.7829
gemini-3.1-flash-lite-preview,FS-R,niveau2.3,auteur,105,6,60,0.9459,0.6364,0.7609
gemini-3.1-flash-lite-preview,FS-R,niveau2.3,bibliographie,84,31,34,0.7304,0.7119,0.721
gemini-3.1-flash-lite-preview,FS-R,niveau2.3,definition,154,34,29,0.8191,0.8415,0.8302
gemini-3.1-flash-lite-preview,FS-R,niveau2.3,exemple,155,26,86,0.8564,0.6432,0.7346
gemini-3.1-flash-lite-preview,FS-R,niveau2.3,reference,16,2,13,0.8889,0.5517,0.6809
gemini-3.1-flash-lite-preview,FS-R,niveau2.3,renvoi,47,6,9,0.8868,0.8393,0.8624
gemini-3.1-flash-lite-preview,FS-R,niveau2.3,traduction,104,0,67,1.0,0.6082,0.7564
gemini-3.1-flash-lite-preview,FS-R,niveau2.5,auteur,86,1,79,0.9885,0.5212,0.6825
